Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles	cnv_call
OR51Q1	0.355192	-1.51179	0.001	0.2	1.9065	-5	1	1.9065	0.1852	0.1852	0.1852	1	1	6	del
UBQLN3	0.457707	-1.65079	0.001	0.2	2.21845	-5	1	2.21845	0.1864	0.1151	0.1151	3	1	6	del
ADAMTS16	0.278148	0.980694	0.001	0.2	0.67853	0.988921	1	0.67853	0.1876	0.5731	0.5556	8	5	7	del
PRSS3	0.193229	1.20542	0.001	0.2	0.716857	1.01369	1	0.716857	0.1877	0.1877	0.1877	3	1	6	del
MROH2A	0.46915	0.945257	0.001	0.2	1.35167	0.910047	1	1.35167	0.1878	0.2623	0.2617	25	5	15	del
MAGI1	0.642007	-1.04798	0.001	0.2	4.09696	-5	1	4.09696	0.1894	0.079	0.079	45	5	9	del
CHST5	0.157536	1.11164	0.001	0.2	0.577483	0.681535	1	0.577483	0.19	0.219	0.1895	13	1	11	del
SYNE1	0.483628	-0.847085	0.001	0.2	3.37445	-5	1	3.37445	0.1901	0.063	0.0561	58	6	8	del
NTM	0.400051	1.09291	0.001	0.2	0.57085	0.817059	1	0.57085	0.1908	0.363	0.3484	25	6	7	del
NETO1	0.355051	1.12508	0.001	0.2	0.646228	1.02559	1	0.646228	0.1914	0.5533	0.5533	14	4	5	del
CAPZB	0.355547	-1.22065	0.001	0.2	1.42964	-0.730925	1	1.42964	0.1931	0.1264	0.0822	6	2	31	del
OR52D1	0.318768	-1.45451	0.001	0.2	1.74305	-5	1	1.74305	0.1946	0.1946	0.1946	1	1	5	del
FBXL18	0.409655	1.23444	0.001	0.2	1.20866	1.29596	1	1.20866	0.1949	0.1568	0.1568	27	2	6	del
MAPK10	0.459737	-1.20548	0.001	0.2	2.94599	-5	1	2.94599	0.1959	0.0911	0.0911	31	3	7	del
PARD3B	0.498168	1.21853	0.001	0.2	0.469577	1.84524	0.403502	0.0990985	0.1961	0.4735	0.6256	85	7	13	del
ITSN1	0.330179	1.64712	0.001	0.2	0.995598	0.890504	1	0.995598	0.1968	0.1501	0.1508	6	2	11	del
PMM2	0.430583	1.22394	0.001	0.2	0.991057	1.18011	1	0.991057	0.1981	0.3342	0.3342	7	4	6	del
PCDH11X	0.384276	-1.04051	0.001	0.2	1.08269	-0.382181	1	1.08269	0.1993	0.1603	0.1453	24	3	87	del
SLC25A24	0.357456	-1.51519	0.001	0.2	1.91553	-5	1	1.91553	0.1998	0.1998	0.1998	3	1	6	del
VPS53	0.836853	-1.01326	0.001	0.2	2.41494	-5	0.728083	1.55455	0.2	0.0913	0.1379	114	7	92	del
"MSMB,TIMM23B"	0.684756	-1.4956	0.001	0.2	3.43432	-5	1	3.43432	0.2003	0.1583	0.1583	12	2	8	del
KIF26B	0.61228	1.45271	0.001	0.2	1.20866	1.29596	1	1.20866	0.2011	0.3879	0.4391	78	4	6	del
GALC	0.172389	1.15243	0.001	0.2	0.643014	0.316875	1	0.643014	0.2033	0.3039	0.2585	5	1	64	del
STX8	0.937514	-1.11796	0.001	0.2	2.9713	-1.34901	1	2.9713	0.2046	0.1775	0.1665	32	8	19	del
ASTN2	1.05518	1.88243	0.001	0.152525	1.2729	0.648401	0.433842	0.985398	0.205	0.3608	0.3551	171	16	81	del
MGAT4C	0.5591	1.23068	0.001	0.2	0.61906	1.07829	0.545544	0.585647	0.2059	0.4466	0.4076	43	8	14	del
STXBP4	0.379567	-0.851609	0.001	0.2	0.906164	-5	0.590399	0.753197	0.2064	0.2067	0.2682	34	5	14	del
NAGPA	0.450018	1.53249	0.001	0.2	0.908488	0.728998	1	0.908488	0.2078	0.3887	0.3613	3	2	14	del
RELN	0.464019	-1.20225	0.001	0.2	2.95864	-5	1	2.95864	0.2092	0.0937	0.0937	11	3	7	del
SLCO1A2	0.410914	0.986085	0.001	0.2	0.938851	0.847001	1	0.938851	0.2092	0.1946	0.1411	35	4	11	del
ZNF835	0.402907	1.23715	0.001	0.2	1.45037	0.792614	1	1.45037	0.2095	0.2003	0.199	2	2	19	del
CHRNB3	0.331505	-1.22211	0.001	0.2	1.58629	-1.56307	1	1.58629	0.2105	0.1336	0.1336	10	2	10	del
TANGO2	0.267182	1.03976	0.001	0.2	-0.0240381	5	0.282322	0.688981	0.2114	0.4013	0.2631	4	2	31	del
FER1L6	0.303782	1.1527	0.001	0.2	0.626545	0.856046	1	0.626545	0.2121	0.4058	0.4261	19	2	7	del
MFHAS1	0.592248	1.28621	0.001	0.2	1.32712	0.852911	1	1.32712	0.2123	0.1956	0.2338	24	3	15	del
UTS2B	0.420596	-1.28534	0.001	0.2	1.86144	-1.67037	1	1.86144	0.2133	0.1644	0.1644	12	2	10	del
RBFOX3	0.514913	-0.260601	0.837419	0.2	1.2657	5	0.45679	0.208312	0.2157	0.2665	0.4978	22	5	15	del
GLIS3	0.470689	1.15735	0.001	0.2	0.456556	3.23669	0.271528	0.0751429	0.2169	0.403	0.7272	49	10	43	del
SLFN13	0.395733	1.06086	0.001	0.2	0.0766143	1.56557	0.352896	-17.226	0.2178	0.5176	0.9275	7	3	183	del
NLRP12	0.482726	1.46199	0.001	0.2	1.43259	0.895577	1	1.43259	0.2181	0.2849	0.2377	14	5	15	del
HSPA12A	0.535949	-1.1873	0.001	0.2	3.27384	-5	1	3.27384	0.219	0.0984	0.0932	7	3	8	del
YWHAE	0.433327	1.26157	0.001	0.2	1.40056	0.835098	1	1.40056	0.2192	0.2171	0.2171	4	2	18	del
CNTN4	0.890205	-0.886338	0.001	0.2	1.68715	-0.517798	1	1.68715	0.2194	0.2371	0.2275	221	14	65	del
CKMT1A	0.223953	1.27607	0.001	0.2	0.765887	0.732327	1	0.765887	0.2206	0.3605	0.3605	1	1	12	del
LMCD1	0.490798	-1.38969	0.001	0.2	1.41702	-5	0.521196	1.19767	0.2207	0.2833	0.2963	18	3	10	del
DIAPH3	0.576244	-0.864124	0.001	0.2	4.07967	-5	1	4.07967	0.2221	0.1046	0.1046	30	7	10	del
DPYD	0.278963	0.974461	0.001	0.2	0.733104	1.06119	1	0.733104	0.2228	0.4418	0.4326	45	5	6	del
TNFAIP8	0.194519	-1.20855	0.001	0.2	0.769023	-0.462987	1	0.769023	0.224	0.224	0.224	3	1	38	del
CNGB3	0.720435	1.41385	0.001	0.2	2.00355	1.96348	1	2.00355	0.2245	0.3881	0.4439	30	3	5	del
CSHL1	0.490456	-1.36019	0.001	0.2	1.9694	-1.29422	1	1.9694	0.2248	0.1078	0.1078	2	2	16	del
CMIP	0.272776	1.37415	0.001	0.2	0.869431	1.00737	1	0.869431	0.2252	0.2056	0.1586	7	1	8	del
FOCAD	0.501108	1.08558	0.001	0.2	1.39555	1.39568	1	1.39555	0.2261	0.4411	0.4411	13	4	6	del
DRD2	0.298119	-0.962575	0.001	0.2	2.12524	-5	1	2.12524	0.2263	0.1477	0.1477	10	3	6	del
BDKRB2	0.600599	1.23846	0.001	0.2	1.99496	1.52509	1	1.99496	0.2272	0.2228	0.2228	11	3	8	del
VWA8	0.338121	1.15059	0.001	0.2	1.31138	1.61045	1	1.31138	0.2275	0.1813	0.1813	10	2	5	del
MALRD1	0.430297	1.00027	0.001	0.2	1.3549	0.415854	1	1.3549	0.2276	0.1805	0.1804	120	8	73	del
CAPN14	0.207062	-1.23823	0.001	0.2	0.852333	-0.943042	1	0.852333	0.2326	0.2326	0.2326	14	1	12	del
TEX101	0.255992	-1.34212	0.001	0.2	0.979084	-0.740094	1	0.979084	0.2345	0.2345	0.2345	2	1	20	del
COL24A1	0.512147	1.04913	0.001	0.2	1.39921	0.677973	1	1.39921	0.2358	0.2222	0.236	58	4	26	del
HHAT	0.327884	1.07461	0.001	0.2	0.90833	1.24786	1	0.90833	0.236	0.401	0.467	12	4	5	del
SNTG1	0.401993	1.09613	0.001	0.2	0.527485	0.766553	1	0.527485	0.2394	0.4661	0.458	29	5	8	del
MSH4	0.351652	1.08071	0.001	0.2	0.707236	0.807072	1	0.707236	0.2411	0.3794	0.3747	6	3	9	del
RNGTT	0.213063	1.25194	0.001	0.2	0.73758	0.931962	1	0.73758	0.2476	0.4322	0.4322	4	1	7	del
FLG2	0.191901	-1.20218	0.001	0.2	0.742451	-0.291597	1	0.742451	0.2481	0.2481	0.2481	3	1	87	del
CTNS	0.275482	1.35282	0.001	0.2	1.18421	0.36111	1	1.18421	0.2484	0.1342	0.1428	6	2	78	del
WDR72	0.486651	0.926343	0.001	0.2	1.17115	0.858078	1	1.17115	0.2492	0.4389	0.4253	43	7	15	del
FAM186A	0.236267	0.947476	0.001	0.2	0.386593	5	0.343455	0.491205	0.2494	0.4801	0.3536	16	4	8	del
PCDHGB2	0.406283	1.23794	0.001	0.2	1.41794	0.960496	1	1.41794	0.2517	0.2515	0.244	6	2	13	del
ATP2C2	0.196313	-1.21289	0.001	0.2	0.768707	-0.501942	1	0.768707	0.253	0.253	0.253	46	1	30	del
TTC28	0.461713	0.910494	0.001	0.2	0.404385	2.10973	0.24114	0.412488	0.253	0.471	0.4291	101	13	73	del
LINGO2	0.895021	0.849394	0.001	0.2	0.387496	0.516861	0.380783	0.047437	0.2539	0.5843	0.8327	222	19	323	del
MAVS	0.342108	-1.23551	0.001	0.2	2.11821	-5	1	2.11821	0.254	0.254	0.254	9	2	5	del
MDGA2	0.436343	-1.10752	0.001	0.2	2.62947	-5	1	2.62947	0.2546	0.139	0.139	64	3	5	del
LHPP	0.334736	0.825635	0.001	0.2	0.855456	0.78731	1	0.855456	0.2546	0.2885	0.2257	29	6	12	del
ELP4	0.380234	1.20229	0.001	0.2	1.40637	1.6642	1	1.40637	0.26	0.26	0.26	19	2	5	del
IQCK	0.348382	-1.2426	0.001	0.2	2.1401	-5	1	2.1401	0.2602	0.2602	0.2602	5	2	5	del
TIMM23B	0.656539	-1.34178	0.001	0.2	2.15079	-5	0.494929	2.13637	0.2606	0.2153	0.2344	61	5	15	del
SLC6A19	0.379192	-0.908438	0.001	0.2	2.48081	-5	1	2.48081	0.2619	0.1478	0.1478	27	4	5	del
"NBPF10,NBPF19,NBPF20,POLR3C"	0.214305	-1.25474	0.001	0.2	0.907511	-1.27638	1	0.907511	0.264	0.264	0.264	12	1	7	del
NPL	0.347468	1.18316	0.001	0.2	0.0979723	-5	0.235321	1.15305	0.2657	0.7143	0.1301	6	4	203	del
PROKR2	0.258952	-1.16179	0.001	0.2	1.87348	-5	1	1.87348	0.2658	0.2279	0.2279	6	2	8	del
HBD	0.206128	1.23607	0.001	0.2	0.728918	0.503559	1	0.728918	0.2672	0.2672	0.2672	1	1	26	del
SHISA9	0.406693	-1.24489	0.001	0.2	2.42736	-5	1	2.42736	0.2676	0.1067	0.0999	9	2	6	del
CACNB2	0.416132	-0.739514	0.001	0.2	3.0985	-5	1	3.0985	0.2687	0.1218	0.1121	19	7	8	del
OR51B5	0.81339	-1.11212	0.001	0.2	2.95452	-1.28728	1	2.95452	0.2703	0.2287	0.2239	39	7	26	del
FANCM	0.412915	0.995421	0.001	0.2	0.937312	0.85063	1	0.937312	0.2718	0.3141	0.3141	51	4	11	del
GPRC6A	0.466345	-1.16212	0.001	0.2	2.72582	-5	1	2.72582	0.2725	0.1467	0.1467	9	3	5	del
CADPS	0.183432	0.896707	0.001	0.2	1.55813	5	0.408699	0.233956	0.2737	0.1421	0.4971	15	4	12	del
AASS	0.177594	-1.1661	0.001	0.2	0.736594	-0.748769	1	0.736594	0.2739	0.2739	0.2739	5	1	14	del
ACYP2	0.356967	-0.864075	0.001	0.2	1.27653	-5	0.600118	0.687645	0.2754	0.2495	0.3052	28	5	27	del
NRG2	0.299285	1.14609	0.001	0.2	0.569083	0.748736	1	0.569083	0.2758	0.496	0.5015	5	2	10	del
VWDE	0.243973	-1.31814	0.001	0.2	1.03893	-1.31455	1	1.03893	0.2764	0.2764	0.2764	14	1	9	del
RNF213	0.417759	1.84663	0.001	0.2	0.487905	5	0.303268	0.0656852	0.2765	0.5754	0.7457	8	3	7	del
AUTS2	0.48761	-0.840707	0.001	0.2	0.879984	-1.88478	0.399893	1.36944	0.2788	0.3516	0.1699	64	13	59	del
FAM19A5	0.336339	-0.748001	0.001	0.2	2.63865	-5	1	2.63865	0.2789	0.1639	0.163	29	6	8	del
OR51S1	0.19245	-1.20352	0.001	0.2	0.79396	-0.762867	1	0.79396	0.2789	0.2789	0.2789	3	1	16	del
C16orf95	0.365423	-1.23073	0.001	0.2	2.20326	-5	1	2.20326	0.2812	0.1938	0.1938	5	2	5	del
KIAA1586	0.139217	1.05719	0.001	0.2	0.536194	0.382384	1	0.536194	0.2812	0.2746	0.3273	1	1	33	del
FGF10	0.41911	-1.09413	0.001	0.2	2.66876	-5	1	2.66876	0.2817	0.2483	0.2483	32	3	6	del
ARHGAP10	0.383907	-0.91927	0.001	0.2	2.51552	-5	1	2.51552	0.2824	0.1702	0.1702	18	4	5	del
CDH8	0.333071	1.04609	0.001	0.2	1.17214	1.52613	1	1.17214	0.2829	0.2829	0.2829	8	3	5	del
OPCML	0.495831	1.05682	0.001	0.2	0.537971	1.19902	0.405547	0.352575	0.2841	0.4386	0.6014	107	13	22	del
RERGL	0.244068	-1.31834	0.001	0.2	1.0412	-1.30811	1	1.0412	0.2843	0.2843	0.2843	2	1	9	del
SLC37A3	0.416783	1.24131	0.001	0.2	1.40529	1.20939	1	1.40529	0.2848	0.2848	0.2848	30	2	8	del
ABCC6	0.259387	1.24284	0.001	0.2	1.02637	0.337869	1	1.02637	0.285	0.2265	0.2329	32	2	78	del
SSX5	0.307029	1.10291	0.001	0.2	1.02203	1.06168	1	1.02203	0.2853	0.2683	0.3049	2	2	10	del
F2RL2	0.160879	-1.12106	0.001	0.2	0.691599	-0.865525	1	0.691599	0.2879	0.2572	0.3392	3	1	11	del
PTPRN2	0.583502	-0.774758	0.001	0.2	2.96317	-1.94403	1	2.96317	0.2881	0.1773	0.1757	71	9	15	del
TEKT5	0.412112	1.05586	0.001	0.2	1.57391	0.831522	1	1.57391	0.2887	0.2267	0.2241	24	3	19	del
CDH4	0.31879	-0.616917	0.001	0.2	1.13714	-0.548813	1	1.13714	0.2897	0.2403	0.1794	125	12	46	del
SLC1A1	0.264715	-1.12374	0.001	0.2	0.653543	-0.410183	1	0.653543	0.29	0.399	0.3866	25	2	40	del
NOS1	0.4449	0.910271	0.001	0.2	0.963202	0.798998	1	0.963202	0.2909	0.3727	0.3786	49	9	13	del
NEK10	0.313372	-0.638353	0.001	0.2	1.50251	-1.1686	1	1.50251	0.2926	0.1542	0.1276	45	8	15	del
PHKB	0.310183	1.10513	0.001	0.2	1.05941	1.22575	1	1.05941	0.2928	0.2699	0.2928	9	2	6	del
CATSPERB	0.402174	-0.992151	0.001	0.2	2.87441	-5	1	2.87441	0.2928	0.1561	0.1543	30	4	7	del
CEP128	0.390396	1.08268	0.001	0.2	1.35962	0.992453	1	1.35962	0.2935	0.2809	0.2809	48	4	12	del
SKAP1	0.30657	-1.1192	0.001	0.2	1.26826	-1.46487	1	1.26826	0.2944	0.2944	0.2944	4	2	8	del
OR52H1	0.504486	-1.3414	0.001	0.2	2.90914	-5	1	2.90914	0.295	0.2112	0.2112	2	2	8	del
FGF12	0.463735	-0.807557	0.001	0.2	2.28245	-1.746	1	2.28245	0.2956	0.1532	0.1674	38	7	14	del
FLYWCH1	0.357797	1.06097	0.001	0.2	1.27339	0.921445	1	1.27339	0.2961	0.245	0.2631	9	3	13	del
TRPM2	0.266904	0.961203	0.001	0.2	0.637505	0.871184	1	0.637505	0.2976	0.4861	0.4635	8	3	7	del
TMEM38B	0.42864	-1.12217	0.001	0.2	2.87299	-5	1	2.87299	0.2985	0.1676	0.1676	9	3	8	del
PABPC4L	0.144781	-1.07426	0.001	0.2	0.587696	-0.232509	1	0.587696	0.2988	0.2988	0.2988	2	1	106	del
LPA	0.296399	-0.936068	0.001	0.2	1.50759	-1.5307	1	1.50759	0.299	0.336	0.325	7	3	10	del
SEMA3D	0.263117	1.11919	0.001	0.2	0.460228	0.734106	1	0.460228	0.2994	0.5138	0.5138	17	2	7	del
PDGFRL	0.315435	-1.16251	0.001	0.2	2.02798	-5	1	2.02798	0.3005	0.2776	0.2776	25	2	6	del
TCFL5	0.512775	-1.04676	0.001	0.2	3.37692	-5	1	3.37692	0.3011	0.1889	0.1889	6	4	8	del
SPAG16	0.448278	-0.788662	0.001	0.2	1.94489	-1.10367	1	1.94489	0.3026	0.179	0.1571	41	9	20	del
ZFPM2	0.367743	-0.815522	0.001	0.2	2.73956	-5	1	2.73956	0.3033	0.2195	0.2195	11	5	8	del
SLC22A3	0.377257	-0.817375	0.001	0.2	2.61641	-5	1	2.61641	0.3056	0.148	0.148	23	5	6	del
GULP1	0.372441	-0.896578	0.001	0.2	2.47214	-5	1	2.47214	0.3066	0.2186	0.2186	16	4	6	del
SELP	0.276429	0.954109	0.001	0.2	0.442965	0.383645	1	0.442965	0.3071	0.4328	0.3745	7	3	27	del
GLDC	0.286737	1.0159	0.001	0.2	0.424706	0.31227	1	0.424706	0.3078	0.4844	0.4712	105	3	38	del
ZBTB38	0.176488	0.917825	0.001	0.2	-0.00197979	5	0.293181	-17.543	0.3079	0.4181	0.9277	5	2	145	del
PRICKLE2	0.351782	1.48964	0.001	0.2	0.381265	3.26399	0.303518	0.154756	0.3088	0.477	0.6282	9	3	9	del
ZNF257	0.153126	1.09897	0.001	0.2	0.581584	0.727283	1	0.581584	0.3091	0.2576	0.2387	3	1	9	del
ACOT6	0.313414	-1.15891	0.001	0.2	2.01095	-5	1	2.01095	0.3092	0.283	0.283	3	2	5	del
DNAJC1	0.469218	-0.843727	0.001	0.2	1.71681	-1.24146	1	1.71681	0.3093	0.2143	0.2569	53	8	15	del
DAB2IP	0.254217	1.13034	0.001	0.2	0.206089	5	0.330912	0.171945	0.3097	0.4791	0.4852	51	4	6	del
TUSC3	0.524776	-0.972849	0.001	0.2	3.71903	-5	1	3.71903	0.3144	0.1767	0.1753	25	5	11	del
NIPA1	0.0952006	0.90118	0.001	0.2	0.398025	0.222737	1	0.398025	0.3153	0.3543	0.3508	8	1	70	del
TRPM3	0.283454	-0.903247	0.001	0.2	1.91171	-5	1	1.91171	0.3164	0.1629	0.1567	26	3	5	del
CCDC38	0.272759	-1.31968	0.001	0.2	1.27247	-5	0.506292	1.07874	0.318	0.0996	0.2639	25	3	8	del
FTO	0.341123	-0.601771	0.001	0.2	0.590508	-2.11361	0.457284	0.126282	0.3184	0.4062	0.6383	82	13	36	del
MCTP2	0.319393	1.01011	0.001	0.2	0.900758	1.02351	1	0.900758	0.319	0.283	0.283	13	3	7	del
PRKCH	0.169643	-0.772536	0.001	0.2	1.45193	-5	1	1.45193	0.3211	0.3211	0.3211	36	3	5	del
HMGCLL1	0.435947	-1.08011	0.001	0.2	1.80596	-1.72062	1	1.80596	0.3219	0.3219	0.3205	25	3	8	del
TRIML1	0.100197	-0.921161	0.001	0.2	0.459091	-0.725357	1	0.459091	0.3254	0.5018	0.5025	5	1	10	del
LEKR1	0.372221	-0.740822	0.001	0.2	1.64501	-5	0.710364	1.64008	0.3268	0.1653	0.1491	54	8	10	del
ATG7	0.413522	-1.07002	0.001	0.2	2.69575	-5	1	2.69575	0.3286	0.1855	0.1855	19	3	7	del
GSTM4	0.275612	1.3794	0.001	0.2	0.871716	1.21882	1	0.871716	0.3287	0.2716	0.2571	2	1	5	del
UNC45B	0.267337	1.07336	0.001	0.2	0.708092	1.09005	1	0.708092	0.3288	0.3288	0.3288	10	2	5	del
TCERG1L	0.218619	1.26564	0.001	0.2	0.363057	2.34439	0.30325	0.331729	0.3302	0.5974	0.5974	28	5	6	del
ABCA1	0.299662	-0.864262	0.001	0.2	1.59255	-5	0.648555	1.38073	0.3324	0.3154	0.3133	33	6	10	del
ADAMTS19	0.343477	1.45095	0.001	0.2	0.670121	5	0.364608	0.514874	0.3348	0.3348	0.5059	40	4	5	del
ZNF679	0.170199	1.14658	0.001	0.2	0.646231	0.731751	1	0.646231	0.3348	0.3348	0.3348	4	1	10	del
LEXM	0.264229	1.0583	0.001	0.2	0.585315	0.68899	1	0.585315	0.335	0.3492	0.2994	6	2	14	del
ROR2	0.269683	-0.827783	0.001	0.2	1.42096	-5	0.634167	0.610696	0.3361	0.1985	0.4366	18	6	11	del
Sep-09	0.17886	-0.865881	0.001	0.2	0.563757	-1.08422	1	0.563757	0.3368	0.4407	0.3961	9	3	5	del
MMP26	0.226771	1.28216	0.001	0.2	0.761039	1.12017	1	0.761039	0.3376	0.3376	0.3376	2	1	5	del
OR51L1	0.226771	1.28216	0.001	0.2	0.761039	1.12017	1	0.761039	0.3376	0.3376	0.3376	1	1	5	del
MAGEA8	0.12768	-1.02016	0.001	0.2	0.541951	-0.539877	1	0.541951	0.338	0.338	0.338	1	1	19	del
TRPV1	0.219175	1.12956	0.001	0.2	1.22113	0.37163	1	1.22113	0.341	0.1023	0.146	9	3	76	del
EFCAB13	0.212099	1.08303	0.001	0.2	0.286631	0.629922	1	0.286631	0.3421	0.5413	0.5688	6	2	6	del
FAM19A2	0.218054	0.821912	0.001	0.2	-0.111092	1.69692	0.196377	0.478959	0.3423	1	0.323	9	3	124	del
MIPOL1	0.286827	-0.90863	0.001	0.2	1.98647	-5	1	1.98647	0.3428	0.1817	0.1817	12	3	5	del
LPP	0.313437	0.768707	0.001	0.2	0.362395	0.376337	1	0.362395	0.3431	0.5986	0.5745	48	9	23	del
MTHFR	0.0931184	0.840259	0.001	0.2	1.1602	5	0.459046	0.268816	0.3438	0.3549	0.6032	6	2	5	del
ACTR3C	0.293087	-0.970744	0.001	0.2	1.3691	-0.771469	1	1.3691	0.345	0.2335	0.2321	6	3	26	del
MAP9	0.168732	1.14264	0.001	0.2	0.617942	1.01357	1	0.617942	0.3453	0.3453	0.3453	3	1	5	del
RPS6KA2	0.274342	0.973252	0.001	0.2	0.586349	0.987736	1	0.586349	0.3472	0.3472	0.3472	38	5	5	del
MACROD2	0.658537	-0.698963	0.001	0.2	1.05378	-0.118412	1	1.05378	0.3481	0.3439	0.3465	140	23	717	del
RGS6	0.345966	0.889029	0.001	0.2	1.36282	1.36885	1	1.36282	0.3484	0.2407	0.177	36	4	7	del
CMC2	0.219453	1.10897	0.001	0.2	0.167278	5	0.349584	0.303883	0.3489	0.759	0.7139	20	2	6	del
C16orf74	0.362128	-1.02561	0.001	0.2	2.42417	-5	1	2.42417	0.3503	0.2486	0.2486	9	3	6	del
GRM8	0.672965	1.05889	0.001	0.2	1.40326	0.693733	1	1.40326	0.3508	0.4341	0.3905	70	7	28	del
GLIPR2	0.177542	0.880419	0.001	0.2	0.594747	0.996681	1	0.594747	0.3527	0.3527	0.3527	7	2	5	del
IL33	0.192133	-0.909807	0.001	0.2	0.891076	-1.26564	1	0.891076	0.353	0.3488	0.2239	41	2	7	del
MTR	0.339331	0.943939	0.001	0.2	0.678066	0.794366	1	0.678066	0.3538	0.4448	0.4052	62	6	9	del
RPH3AL	0.303653	-1.0057	0.001	0.2	1.31889	-1.13355	1	1.31889	0.3548	0.3365	0.3365	69	3	13	del
MRPS30	0.229523	1.09228	0.001	0.2	0.479163	1.02591	1	0.479163	0.3549	0.7602	0.7361	6	2	5	del
HDAC9	0.333567	-0.692611	0.001	0.2	1.0413	-5	0.50159	0.778603	0.3557	0.2827	0.3825	51	9	15	del
EHD3	0.214163	-0.817124	0.001	0.2	1.05291	-1.02132	1	1.05291	0.3561	0.3298	0.3244	9	3	14	del
PINX1	0.336234	-0.868443	0.001	0.2	1.45895	-1.15553	1	1.45895	0.3589	0.2183	0.2042	22	4	14	del
TTLL11	0.310346	-0.831018	0.001	0.2	2.25174	-5	1	2.25174	0.359	0.3099	0.2582	36	4	6	del
THADA	0.472333	-0.690981	0.001	0.2	0.257707	-2.24297	0.315885	0.144529	0.359	0.6084	0.6373	259	12	193	del
BPI	0.137501	1.05182	0.001	0.2	0.53115	0.947826	1	0.53115	0.3598	0.2011	0.2995	11	1	5	del
KNCN	0.136097	1.0474	0.001	0.2	0.526067	0.93614	1	0.526067	0.3608	0.2922	0.3088	1	1	5	del
MKNK1	0.136097	1.0474	0.001	0.2	0.526067	0.93614	1	0.526067	0.3608	0.2922	0.3088	4	1	5	del
SNTG2	0.153613	-1.1676	0.001	0.2	0.556464	-1.02171	1	0.556464	0.3608	0.5126	0.4439	45	2	7	del
LRRC69	0.174157	-0.882317	0.001	0.2	0.676881	-0.430917	1	0.676881	0.361	0.2113	0.2845	6	2	41	del
LILRB5	0.261245	0.938228	0.001	0.2	0.710428	0.505582	1	0.710428	0.3613	0.4646	0.4618	9	3	24	del
KCNIP4	0.39588	-0.728479	0.001	0.2	1.58679	-0.543985	1	1.58679	0.3632	0.1792	0.1192	80	14	57	del
"CD160,NBPF10,NBPF19,NBPF20"	0.143673	-1.0709	0.001	0.2	0.610998	-0.543395	1	0.610998	0.3633	0.3633	0.3633	11	1	23	del
PDZK1	0.143673	-1.0709	0.001	0.2	0.610998	-0.543395	1	0.610998	0.3633	0.3633	0.3633	1	1	23	del
NAALAD2	0.240572	-0.995818	0.001	0.2	1.06429	-0.875416	1	1.06429	0.3636	0.3256	0.3239	5	2	15	del
STARD9	0.345081	-0.788757	0.001	0.2	2.48371	-5	1	2.48371	0.3641	0.2536	0.2536	15	5	6	del
BIK	0.177407	1.00919	0.001	0.2	0.440296	0.380363	1	0.440296	0.3641	0.4514	0.4018	9	3	27	del
TRABD2B	0.166189	1.0583	0.001	0.2	0.0914244	5	0.328442	0.0497037	0.3646	0.7073	0.8072	29	2	13	del
CARMIL1	0.15736	-0.486989	0.001	0.2	0.621801	-1.07422	1	0.621801	0.3659	0.456	0.438	51	7	8	del
CALN1	0.587898	-0.921065	0.001	0.2	2.72747	-1.48371	1	2.72747	0.3675	0.2684	0.2386	65	6	18	del
ITGAE	0.326896	-0.903383	0.001	0.2	1.35123	-1.48717	1	1.35123	0.3681	0.245	0.222	14	4	9	del
ZNF729	0.123137	1.00491	0.001	0.2	0.486164	0.892835	1	0.486164	0.3692	0.2413	0.2282	1	1	5	del
ULK4	0.266642	-0.714997	0.001	0.2	0.495244	-5	0.507688	0.496228	0.3694	0.5584	0.469	78	5	24	del
FAM169B	0.114803	0.975861	0.001	0.2	0.460017	0.870649	1	0.460017	0.3695	0.3695	0.3695	6	1	5	del
CRISP2	0.242835	1.00932	0.001	0.2	0.780741	1.3154	1	0.780741	0.3705	0.943	0.943	3	2	6	del
RBFOX1	0.709208	0.804905	0.001	0.2	0.436369	0.111231	1	0.436369	0.3709	0.596	0.5504	483	26	326	del
ASAH2	0.276303	-0.910639	0.001	0.2	2.02596	-5	1	2.02596	0.3736	0.3007	0.2719	6	3	6	del
JAZF1	0.279052	-0.656742	0.001	0.2	2.12783	-5	1	2.12783	0.3736	0.1168	0.1168	40	6	6	del
PREPL	0.189433	0.909048	0.001	0.2	0.79184	0.492884	1	0.79184	0.3738	0.3015	0.3254	5	2	27	del
CADM2	0.337298	-1.04627	0.001	0.2	1.36741	-0.865269	0.670109	1.28322	0.3744	0.2313	0.258	61	8	40	del
MS4A4A	0.285502	-1.08038	0.001	0.2	1.91907	-5	1	1.91907	0.3746	0.298	0.298	5	2	6	del
PLCB1	0.473893	-0.657742	0.001	0.2	1.83846	-0.680088	1	1.83846	0.3795	0.2446	0.2265	128	14	45	del
RADIL	0.282557	-1.08836	0.001	0.2	1.17851	-1.42853	1	1.17851	0.3804	0.3834	0.3834	25	2	8	del
LILRB4	0.122094	1.00135	0.001	0.2	0.465838	0.813048	1	0.465838	0.3831	0.2805	0.2779	4	1	6	del
